countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
840,63,NORTH CAROLINA,313,CONGLETON,35.7523027,-77.2310819,2016,2890,6
840,83,TEXAS,313,MOUNT ZION,29.7269807,-96.0804439,2016,2890,22
840,27,GEORGIA,314,OWENSBORO,31.911593,-83.3946338,2016,2890,24
840,34,ILLINOIS,314,ALLERTON PARK,39.9526337,-88.6689458,2016,2890,1
840,35,INDIANA,314,GEORGIA,38.7671667,-86.5484989,2016,2890,1
840,83,TEXAS,314,YOAKUM,29.2133329,-97.1483412,2016,2890,5
840,27,GEORGIA,315,MINTER TWEED,32.4529818,-82.7571502,2016,2890,15
840,34,ILLINOIS,315,MARSHALL,35.939336,-92.442323,2016,2890,5
840,35,INDIANA,315,CROSS PLAINS,38.9509067,-85.1623379,2016,2890,2
840,38,KANSAS,315,Grigston,38.4682058,-100.7232236,2016,2890,1
840,83,TEXAS,315,BRITE,29.0939087,-98.6416779,2016,2890,61
840,34,ILLINOIS,316,DUDLEYVILLE,38.8433817,-89.3901378,2016,2890,2
840,38,KANSAS,317,Severance,39.7839097,-95.2272709,2016,2890,8
840,52,MISSOURI,317,MOSELLE,38.4847647,-90.9431159,2016,2890,2
840,83,TEXAS,317,MONTELL,29.5379301,-100.0117796,2016,2890,22
840,27,GEORGIA,318,DICKEY,31.5573574,-84.6581734,2016,2890,19
840,34,ILLINOIS,318,ROYALTON,37.8620527,-89.0775209,2016,2890,6
840,38,KANSAS,318,Olsburg,39.6529209,-96.5297375,2016,2890,6
840,27,GEORGIA,319,BARGES,31.9559887,-84.6928996,2016,2890,3
840,17,COLORADO,320,KARVAL,38.7624107,-103.3489149,2016,2890,1
840,27,GEORGIA,320,Irwinton,32.801282,-83.029301,2016,2890,5
840,27,GEORGIA,321,LAKEVIEW,34.3086241,-85.9323092,2016,2890,5
840,38,KANSAS,321,Damar,39.3355726,-99.269502,2016,2890,12
840,27,GEORGIA,325,CURRY HILL,33.8799945,-82.553544,2016,2890,8
840,83,TEXAS,325,PRAIRIE MTN.,30.5504297,-98.8827669,2016,2890,6
840,83,TEXAS,326,ALLEN CREEK,30.3038597,-99.7103499,2016,2890,17
840,83,TEXAS,327,ROCKSPRING,30.0156927,-100.2140109,2016,2890,24
840,83,TEXAS,328,DEVILS R CYN,30.142815,-101.322565,2016,2890,26
840,27,GEORGIA,329,YATES CROSSROADS,33.4037868,-85.253731,2016,2890,11
840,63,NORTH CAROLINA,329,JARVISBURG 2,36.4199384,-75.9245906,2016,2890,5
840,27,GEORGIA,336,AMOS MILL,34.6117851,-85.497565,2016,2890,1
840,83,TEXAS,340,WALL,31.3901587,-100.2958909,2016,2890,12
