countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,33,IDAHO,124,PASADENA VAL,42.953922,-115.2124573,2016,3131,Columbidae,22
840,33,IDAHO,204,JOEL,46.4470219,-116.8391482,2016,3131,Columbidae,3
840,33,IDAHO,221,MUD LAKE,43.8124267,-112.3960119,2016,3131,Columbidae,14
840,33,IDAHO,222,BATES,43.8248162,-111.2006106,2016,3131,Columbidae,5
840,33,IDAHO,225,CEDAR HILL,42.431685,-114.0888322,2016,3131,Columbidae,16
840,33,IDAHO,226,ALMO,42.2100017,-113.8402099,2016,3131,Columbidae,1
840,33,IDAHO,228,PRESTON,42.0021387,-111.9538098,2016,3131,Columbidae,13
840,34,ILLINOIS,1,GUILFORD,42.2101956,-90.0603721,2016,3131,Columbidae,6
840,34,ILLINOIS,2,MILL CREEK,42.1593177,-89.3321502,2016,3131,Columbidae,11
840,34,ILLINOIS,3,HOLCOMB,42.0711057,-89.0756312,2016,3131,Columbidae,3
840,34,ILLINOIS,6,ITASCA,42.0160676,-87.908702,2016,3131,Columbidae,2
840,34,ILLINOIS,7,ATKINSON,41.3974197,-90.0300702,2016,3131,Columbidae,10
840,34,ILLINOIS,10,SHEFFIELD,41.3504896,-89.7704347,2016,3131,Columbidae,16
840,34,ILLINOIS,11,BUDA,41.3356226,-89.7085965,2016,3131,Columbidae,10
840,34,ILLINOIS,13,STREATOR,41.0834818,-88.8325718,2016,3131,Columbidae,3
840,34,ILLINOIS,15,ESSEX,34.7336313,-115.2438758,2016,3131,Columbidae,14
840,34,ILLINOIS,16,NEWARK,41.530722,-88.5743214,2016,3131,Columbidae,26
840,34,ILLINOIS,18,NEW LENOX,41.4686591,-87.964599,2016,3131,Columbidae,15
840,34,ILLINOIS,19,GULFPORT,40.8036571,-91.0568488,2016,3131,Columbidae,12
840,34,ILLINOIS,21,CHANDLERVILL,40.0810774,-90.0013197,2016,3131,Columbidae,19
840,34,ILLINOIS,22,TERRE HAUTE,40.6514497,-90.9814019,2016,3131,Columbidae,1
840,34,ILLINOIS,23,WILLIAMSFLD,40.9170762,-90.0331516,2016,3131,Columbidae,2
840,34,ILLINOIS,24,CAMERON,40.8602881,-90.5087794,2016,3131,Columbidae,2
840,34,ILLINOIS,26,MONICA,40.9305488,-89.7938841,2016,3131,Columbidae,1
840,34,ILLINOIS,28,MACKINAW,40.4972564,-89.4243639,2016,3131,Columbidae,15
840,34,ILLINOIS,29,MINONK,40.9275498,-88.95069,2016,3131,Columbidae,3
840,34,ILLINOIS,30,MONTICELLO,40.0787817,-88.5584799,2016,3131,Columbidae,7
840,34,ILLINOIS,32,PONTIAC,40.8985328,-88.6754284,2016,3131,Columbidae,3
840,34,ILLINOIS,37,ATHENSVILLE,39.4187241,-90.1660041,2016,3131,Columbidae,6
840,34,ILLINOIS,40,PAWNEE,39.5753678,-89.5158088,2016,3131,Columbidae,2
840,34,ILLINOIS,42,ROSAMOND,39.3998674,-89.2049844,2016,3131,Columbidae,5
840,34,ILLINOIS,43,HUMPHREY,39.5535471,-89.4517437,2016,3131,Columbidae,3
840,34,ILLINOIS,44,FAIRLAND,39.8947071,-88.103613,2016,3131,Columbidae,4
840,34,ILLINOIS,47,HUMBOLDT,39.6153298,-88.3865649,2016,3131,Columbidae,15
840,34,ILLINOIS,49,COLUMBIA,38.3851828,-90.2587326,2016,3131,Columbidae,9
840,34,ILLINOIS,50,MASCOUTAH LK,38.5256201,-89.8193422,2016,3131,Columbidae,6
840,34,ILLINOIS,51,JAMESTOWN,38.6981367,-89.5364836,2016,3131,Columbidae,9
840,34,ILLINOIS,52,ST MORGAN,38.6699717,-89.6602444,2016,3131,Columbidae,5
